GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},12,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ChatListView,0,24,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,27,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},42,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,LlmFreelancerContext,0,27,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchPage,0,9,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,MessageView,27,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,27,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,30,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService,646,389,67,15,134,97,44,18,6,13
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,LlmProjectContext,0,33,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,FreelancerBatchRow,27,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchCriteria,173,32,2,0,10,2,11,2,10,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},51,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,McpSearchException,5,0,0,0,2,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},18,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchResult,0,39,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},9,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerDetailView,0,114,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService,108,562,7,21,24,120,10,26,3,19
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerPartnerView,0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerContactView,0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerSearchCriteria,1060,69,0,0,23,1,23,1,23,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},0,36,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerSearchResult,0,39,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,FreelancerHistoryView,0,30,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.freelancer.query,TagInfo,0,12,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.command,ProjectPositionStatus,15,31,0,0,6,14,2,9,2,9
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.command,StammdatenCommandService,26,63,3,1,6,18,4,10,2,10
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.command,Tag,13,16,0,0,5,8,4,3,4,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared.command,HistoryType,9,10,0,0,4,5,2,3,2,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},18,0,4,0,5,0,5,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},18,0,4,0,5,0,5,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},18,0,4,0,5,0,5,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},10,0,0,0,3,0,3,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},10,0,0,0,3,0,3,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},10,0,0,0,3,0,3,0,3,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ContactType,39,0,0,0,7,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,WebMvcConfig,40,34,3,5,11,7,3,5,0,4
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},2,6,0,0,1,1,1,1,1,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},2,6,0,0,1,1,1,1,1,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,TagType,0,49,0,0,0,10,0,3,0,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,ProjectStatus,9,68,1,3,2,12,2,4,1,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.api,KundeController,193,490,15,35,41,80,23,25,12,11
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,PartnerHistoryEntry,0,15,0,0,0,1,0,1,0,1
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,PartnerCommandService,137,77,18,4,32,20,13,4,3,3
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,PartnerContactEntry,15,0,0,0,1,0,1,0,1,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,PartnerHasProjectsException,12,0,0,0,4,0,2,0,2,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,PartnerHistory,44,15,0,0,13,4,13,4,13,4
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,PartnerContact,59,0,0,0,17,0,17,0,17,0
E2E-Test Coverage (Playwright),de.mirkosertic.powerstaff.partner.command,Partner,24,105,0,0,6,31,6,31,6,31
