GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},12,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ChatListView,0,24,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},42,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},15,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,LlmFreelancerContext,0,27,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchPage,0,9,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,MessageView,0,27,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,27,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,30,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService,775,260,73,9,156,75,47,15,8,11
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,LlmProjectContext,0,33,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,FreelancerBatchRow,0,27,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchCriteria,173,32,2,0,10,2,11,2,10,2
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},51,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,McpSearchException,5,0,0,0,2,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},18,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchResult,39,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},9,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerDetailView,0,114,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService,48,622,3,25,10,134,4,32,1,21
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerPartnerView,15,0,0,0,1,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerContactView,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerSearchCriteria,611,518,0,0,13,11,13,11,13,11
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},0,36,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerSearchResult,0,39,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerHistoryView,0,30,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.query,TagInfo,0,12,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.command,ProjectPositionStatus,0,46,0,0,0,20,0,11,0,11
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.command,StammdatenCommandService,5,84,1,3,2,22,2,12,1,11
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.command,Tag,4,25,0,0,2,11,1,6,1,6
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.command,HistoryType,0,19,0,0,0,9,0,5,0,5
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},18,0,4,0,5,0,5,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},18,0,4,0,5,0,5,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},18,0,4,0,5,0,5,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},10,0,0,0,3,0,3,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},10,0,0,0,3,0,3,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},10,0,0,0,3,0,3,0,3,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ContactType,39,0,0,0,7,0,1,0,1,0
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,WebMvcConfig,60,14,8,0,14,4,6,2,2,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},2,6,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},2,6,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},2,6,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},2,6,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,TagType,0,49,0,0,0,10,0,3,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus,11,66,2,2,2,12,3,3,1,3
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.api,KundeController,135,548,19,31,3,118,19,29,2,21
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.customer.api,KundeController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,PartnerHistoryEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,PartnerCommandService,0,214,2,20,0,52,2,15,0,6
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,PartnerContactEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,PartnerHasProjectsException,0,12,0,0,0,4,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,PartnerHistory,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,PartnerContact,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.command,Partner,28,101,0,0,7,30,7,30,7,30
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,ProjectPosition,9,71,0,0,3,20,3,20,3,20
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,RememberedProjectInfo,0,12,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,RememberedProjectService,0,64,0,2,0,13,0,7,0,6
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,FreelancerAlreadyAssignedException,0,6,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,ProjectPositionCommandService,9,117,2,4,3,31,2,8,0,7
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,ProjectHistory,26,26,0,0,7,8,7,8,7,8
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,RememberedProject,11,30,0,0,3,10,3,5,3,5
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,ProjectCommandService,0,45,0,2,0,12,0,5,0,4
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,ProjectValidator,4,17,1,3,1,5,2,3,1,2
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,ProjectHistoryCommandService,0,22,0,0,0,7,0,4,0,4
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,Project,48,105,0,0,12,32,12,31,12,31
Integrationstest Coverage,de.mirkosertic.powerstaff.project.command,BothFKsException,0,4,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PsAuthenticationSuccessHandler,4,27,1,1,1,10,1,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,UserQueryService,8,25,0,0,4,12,1,3,1,3
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,MustChangePasswordFilter,4,63,3,7,2,17,3,5,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PasswordChangeController.PasswordChangeCommand,0,3,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,UserController,133,182,23,25,31,42,20,13,2,7
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,UserCommandService,24,59,6,0,4,16,5,6,2,6
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PsUser,7,47,1,1,2,17,3,8,2,8
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,UserView,0,21,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PasswordChangeController,0,100,1,7,0,23,1,6,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.auth,PsUserDetailsService,16,49,2,2,1,12,2,3,0,3
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController.new TypeReference() {...},0,8,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.api,FreelancerController,238,738,29,53,7,153,30,38,3,24
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectController.AssignByIdRequest,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectController,106,666,15,35,3,131,15,40,2,28
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectHistoryController.HistoryRequest,0,6,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectController.PositionRequest,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.project.api,ProjectHistoryController,5,64,0,0,0,16,1,4,1,4
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerSearchCriteria,216,163,0,0,8,6,8,6,8,6
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerQueryService,0,348,1,13,0,80,1,21,0,15
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerContactView,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerFreelancerView,0,24,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerSearchResult,0,21,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerDetailView,0,57,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerProjectView,5,21,0,0,1,1,1,1,1,1
Integrationstest Coverage,de.mirkosertic.powerstaff.partner.query,PartnerHistoryView,0,30,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.shared.api,StammdatenController,7,228,0,2,2,52,1,17,1,16
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,DuplicateTagException,0,6,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTagCommandService,7,52,0,2,2,13,0,5,0,4
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHistoryEntry,0,15,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerContact,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHistory,44,15,0,0,13,4,13,4,13,4
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,Freelancer,80,182,0,0,20,55,20,55,20,55
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTag,32,20,0,0,9,6,9,6,9,6
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerTagEntry,0,9,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerHasPositionsException,0,12,0,0,0,4,0,2,0,2
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerLookupResult,0,12,0,0,0,1,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,DuplicateCodeException,0,5,0,0,0,2,0,1,0,1
Integrationstest Coverage,de.mirkosertic.powerstaff.freelancer.command,FreelancerCommandService,16,344,8,34,4,79,8,25,1,11
