GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},12,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ChatListView,0,24,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,27,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},42,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},15,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,LlmFreelancerContext,0,27,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchPage,0,9,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,MessageView,0,27,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,27,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},0,30,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService,618,417,63,19,124,107,39,23,4,15
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,LlmProjectContext,0,33,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,FreelancerBatchRow,0,27,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchCriteria,104,101,2,0,6,6,7,6,6,6
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},51,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,McpSearchException,5,0,0,0,2,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},18,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchResult,0,39,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},9,0,0,0,1,0,1,0,1,0
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.query,FreelancerDetailView,0,114,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},0,15,0,0,0,1,0,1,0,1
Gesamte Test Coverage (Unit + Integration + e2e),de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService,36,634,2,26,6,138,2,34,0,22
