GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},12,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ChatListView,24,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},42,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,LlmFreelancerContext,27,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchPage,0,9,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,MessageView,27,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},27,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},30,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService,909,126,77,5,199,32,56,6,13,6
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,LlmProjectContext,0,33,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,FreelancerBatchRow,27,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchCriteria,109,96,2,0,7,5,8,5,7,5
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},51,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,McpSearchException,5,0,0,0,2,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},18,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchResult,0,39,0,0,0,1,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.profilesearch.query,ProfileSearchQueryService.new Record() {...},9,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerDetailView,114,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService,670,0,28,0,144,0,36,0,22,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerPartnerView,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerContactView,15,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerSearchCriteria,1129,0,0,0,24,0,24,0,24,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerQueryService.new Record() {...},36,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerSearchResult,39,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,FreelancerHistoryView,30,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.freelancer.query,TagInfo,12,0,0,0,1,0,1,0,1,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.command,ProjectPositionStatus,46,0,0,0,20,0,11,0,11,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.command,StammdatenCommandService,89,0,4,0,24,0,14,0,12,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.command,Tag,29,0,0,0,13,0,7,0,7,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared.command,HistoryType,19,0,0,0,9,0,5,0,5,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,18,1,3,0,5,1,4,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,18,1,3,0,5,1,4,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,18,1,3,0,5,1,4,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,10,0,0,0,3,0,3,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,10,0,0,0,3,0,3,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType.new ContactType() {...},0,10,0,0,0,3,0,3,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ContactType,0,39,0,0,0,7,0,1,0,1
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,WebMvcConfig,74,0,8,0,18,0,8,0,4,0
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus.new ProjectStatus() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType,0,49,0,0,0,10,0,3,0,3
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,ProjectStatus,0,77,0,4,0,14,0,6,0,4
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
Unit-Test Coverage,de.mirkosertic.powerstaff.shared,TagType.new TagType() {...},0,8,0,0,0,2,0,2,0,2
